create_dt,location_y,compnt_nm,location_x,version
20140207,-33.71148,PAARL EAST,18.99406,1.1.0
20140207,-27.51842,ROADSIDE,28.8493,1.1.0
20140207,-27.42321,VREDE,29.16897,1.1.0
20140207,-27.85385,WARDEN,28.96409,1.1.0
20140207,-30.55924,GOEDEMOED,26.40335,1.1.0
20140207,-29.13018,JACOBSDAL,24.77064,1.1.0
20140207,-29.76054,JAGERSFONTEIN,25.42291,1.1.0
20140207,-34.00107,PHILIPPI,18.54054,1.1.0
20140207,-30.99623,FLOUKRAAL,27.05484,1.1.0
20140207,-31.1205,JAMESTOWN,26.81023,1.1.0
20140207,-30.71202,LADY GREY,27.20923,1.1.0
20140207,-28.56124,LADYSMITH,29.77862,1.1.0
20140207,-28.94127,AMANGWE,29.61758,1.1.0
20140207,-28.43673,BESTERS,29.64116,1.1.0
20140207,-28.59515,EZAKHENI,29.9278,1.1.0
20140207,-28.74824,RICHARDS BAY,32.05469,1.1.0
20140207,-33.09287,LANGEBAAN,18.03349,1.1.0
20140207,-33.15359,MOORREESBURG,18.66466,1.1.0
20140207,-32.90627,PIKETBERG,18.75449,1.1.0
20140207,-32.47741,REDELINGHUYS,18.53737,1.1.0
20140207,-32.75816,ST HELENA BAY,18.02407,1.1.0
20140207,-32.90673,VREDENBURG,18.00228,1.1.0
20140207,-31.39491,MOLTENO,26.36142,1.1.0
20140207,-26.51511,DE DEUR,27.91079,1.1.0
20140207,-25.7556,BROOKLYN,28.2377,1.1.0
20140207,-28.21219,NQUTHU,30.67726,1.1.0
20140207,-28.62028,NKANDLA,31.09171,1.1.0
20140207,-28.27376,MPUNGAMHLOPHE,31.25359,1.1.0
20140207,-23.36789,MOGWADI,29.32768,1.1.0
20140207,-25.43437,PIENAAR,31.1846,1.1.0
20140207,-25.92322,DIEPSLOOT,28.02203,1.1.0
20140207,-33.57672,NEMATO,26.89275,1.1.0
20140207,-23.49214,BOTLOKWA,29.73967,1.1.0
20140207,-26.50534,ATAMELANG,25.37052,1.1.0
20140207,-25.20296,RUST DE WINTER,28.60761,1.1.0
20140207,-28.71051,GALESHEWE,24.74277,1.1.0
20140207,-27.75361,HARTSWATER,24.80519,1.1.0
20140207,-27.91606,JAN KEMPDORP,24.83897,1.1.0
20140207,-24.70692,MODIMOLLE,28.40881,1.1.0
20140207,-24.51843,NABOOMSPRUIT,28.71265,1.1.0
20140207,-24.06064,DORSET,28.16096,1.1.0
20140207,-25.20246,PIENAARSRIVIER,28.2964,1.1.0
20140207,-24.59628,ROEDTAN,29.08164,1.1.0
20140207,-24.77912,ROOIBERG,27.73079,1.1.0
20140207,-24.90246,TUINPLAAS,28.73605,1.1.0
20140207,-29.70143,PHOENIX,31.00799,1.1.0
20140207,-32.58829,CITRUSDAL,19.01101,1.1.0
20140207,-32.17615,CLANWILLIAM,18.89226,1.1.0
20140207,-31.81174,DORING BAY,18.23678,1.1.0
20140207,-24.67925,BURGERSFORT,30.32999,1.1.0
20140207,-25.41676,DULLSTROOM,30.10594,1.1.0
20140207,-25.087,BEDWANG,27.96893,1.1.0
