I_D,YEAR,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS
7597,2007,5.200000000000000,,TAJIKISTAN,"TAJIKISTAN:  RASHT, ASHT",38.936000000000000,70.484999999999999,40,12
7537,2007,8.000000000000000,8,PERU,"PERU:  ICA, PISCO, LIMA",-13.385999999999999,-76.602999999999994,160,514
7574,2007,8.400000000000000,,INDONESIA,INDONESIA:  SUMATRA,-4.438000000000000,101.367000000000004,60,25
7764,2008,5.900000000000000,,CONGO,CONGO:  BUKAVU,-2.296000000000000,28.899999999999999,10,38
7843,2008,7.900000000000000,9,CHINA,CHINA:  SICHUAN PROVINCE,31.001999999999999,103.322000000000003,30,87652
7907,2008,6.900000000000000,,JAPAN,JAPAN:  HONSHU:  TOKYO,39.030000000000001,140.881000000000000,30,13
8132,2008,5.900000000000000,,CHINA,CHINA:  SICHUAN PROVINCE,26.271999999999998,101.936999999999998,30,43
8160,2008,6.600000000000000,,KYRGYZSTAN,KYRGYZSTAN: NURA,39.533000000000001,73.823999999999998,40,74
8162,2008,5.700000000000000,,RUSSIA,RUSSIA:  CAUCASUS:  CHECHNYA,43.372000000000000,46.253999999999998,40,13
8177,2008,6.400000000000000,,PAKISTAN,PAKISTAN:  QUETTA,30.638999999999999,67.350999999999999,60,166
8210,2009,6.100000000000000,,COSTA RICA,COSTA RICA:  LA PAZ,10.164999999999999,-84.197000000000003,100,23
8264,2009,6.300000000000000,,ITALY,ITALY:  L'AQUILA,42.334000000000003,13.334000000000000,130,309
8318,2009,5.400000000000000,,AFGHANISTAN,AFGHANISTAN:  NANGARHAR,34.185000000000002,70.075999999999993,40,19
8386,2009,7.000000000000000,,INDONESIA,INDONESIA:  JAVA,-7.782000000000000,107.296999999999997,170,81
8392,2009,6.100000000000000,,BHUTAN,BHUTAN:  TASHIGANG,27.332000000000001,91.436999999999998,60,11
8409,2009,7.500000000000000,,INDONESIA,INDONESIA:  SUMATRA:  PADANG,-0.720000000000000,99.867000000000004,60,1117
8732,2010,7.000000000000000,,HAITI,HAITI:  PORT-AU-PRINCE,18.457000000000001,-72.533000000000001,90,316000
8872,2010,8.800000000000001,9,CHILE,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122000000000000,-72.897999999999996,160,402
